"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
844,"Steers Armageddon","A Stunning Character Study of a Car And a Girl who must Succumb a Car in A MySQL Convention",2006,1,6,"4.99",140,"16.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'armageddon':2 'car':9,17 'charact':5 'convent':21 'girl':12 'must':14 'mysql':20 'steer':1 'studi':6 'stun':4 'succumb':15"
841,"Star Operation","A Insightful Character Study of a Girl And a Car who must Pursue a Mad Cow in A Shark Tank",2006,1,5,"2.99",181,"9.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'car':12 'charact':5 'cow':18 'girl':9 'insight':4 'mad':17 'must':14 'oper':2 'pursu':15 'shark':21 'star':1 'studi':6 'tank':22"
839,"Stallion Sundance","A Fast-Paced Tale of a Car And a Dog who must Outgun a A Shark in Australia",2006,1,5,"0.99",130,"23.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':21 'car':10 'dog':13 'fast':5 'fast-pac':4 'must':15 'outgun':16 'pace':6 'shark':19 'stallion':1 'sundanc':2 'tale':7"
838,"Stagecoach Armageddon","A Touching Display of a Pioneer And a Butler who must Chase a Car in California",2006,1,5,"4.99",112,"25.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'armageddon':2 'butler':11 'california':18 'car':16 'chase':14 'display':5 'must':13 'pioneer':8 'stagecoach':1 'touch':4"
831,"Spirited Casualties","A Taut Story of a Waitress And a Man who must Face a Car in A Baloon Factory",2006,1,5,"0.99",138,"20.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'baloon':19 'car':16 'casualti':2 'face':14 'factori':20 'man':11 'must':13 'spirit':1 'stori':5 'taut':4 'waitress':8"
830,"Spirit Flintstones","A Brilliant Yarn of a Cat And a Car who must Confront a Explorer in Ancient Japan",2006,1,7,"0.99",149,"23.99","R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'ancient':18 'brilliant':4 'car':11 'cat':8 'confront':14 'explor':16 'flintston':2 'japan':19 'must':13 'spirit':1 'yarn':5"
825,"Speakeasy Date","A Lacklusture Drama of a Forensic Psychologist And a Car who must Redeem a Man in A Manhattan Penthouse",2006,1,6,"2.99",165,"22.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'car':12 'date':2 'drama':5 'forens':8 'lacklustur':4 'man':17 'manhattan':20 'must':14 'penthous':21 'psychologist':9 'redeem':15 'speakeasi':1"
823,"South Wait","A Amazing Documentary of a Car And a Robot who must Escape a Lumberjack in An Abandoned Amusement Park",2006,1,4,"2.99",143,"21.99","R","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'abandon':19 'amaz':4 'amus':20 'car':8 'documentari':5 'escap':14 'lumberjack':16 'must':13 'park':21 'robot':11 'south':1 'wait':2"
818,"Something Duck","A Boring Character Study of a Car And a Husband who must Outgun a Frisbee in The First Manned Space Station",2006,1,4,"4.99",180,"17.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bore':4 'car':9 'charact':5 'duck':2 'first':20 'frisbe':17 'husband':12 'man':21 'must':14 'outgun':15 'someth':1 'space':22 'station':23 'studi':6"
774,"Searchers Wait","A Fast-Paced Tale of a Car And a Mad Scientist who must Kill a Womanizer in Ancient Japan",2006,1,3,"2.99",182,"22.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':21 'car':10 'fast':5 'fast-pac':4 'japan':22 'kill':17 'mad':13 'must':16 'pace':6 'scientist':14 'searcher':1 'tale':7 'wait':2 'woman':19"
767,"Scalawag Duck","A Fateful Reflection of a Car And a Teacher who must Confront a Waitress in A Monastery",2006,1,6,"4.99",183,"13.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':8 'confront':14 'duck':2 'fate':4 'monasteri':19 'must':13 'reflect':5 'scalawag':1 'teacher':11 'waitress':16"
761,"Santa Paris","A Emotional Documentary of a Moose And a Car who must Redeem a Mad Cow in A Baloon Factory",2006,1,7,"2.99",154,"23.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'baloon':20 'car':11 'cow':17 'documentari':5 'emot':4 'factori':21 'mad':16 'moos':8 'must':13 'pari':2 'redeem':14 'santa':1"
742,"Roof Champion","A Lacklusture Reflection of a Car And a Explorer who must Find a Monkey in A Baloon",2006,1,7,"0.99",101,"25.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'baloon':19 'car':8 'champion':2 'explor':11 'find':14 'lacklustur':4 'monkey':16 'must':13 'reflect':5 'roof':1"
726,"Reservoir Adaptation","A Intrepid Drama of a Teacher And a Moose who must Kill a Car in California",2006,1,7,"2.99",61,"29.99","PG-13","2013-05-26 14:50:58.951","{Commentaries}","'adapt':2 'california':18 'car':16 'drama':5 'intrepid':4 'kill':14 'moos':11 'must':13 'reservoir':1 'teacher':8"
686,"Pluto Oleander","A Action-Packed Reflection of a Car And a Moose who must Outgun a Car in A Shark Tank",2006,1,5,"4.99",84,"9.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'action':5 'action-pack':4 'car':10,18 'moos':13 'must':15 'oleand':2 'outgun':16 'pack':6 'pluto':1 'reflect':7 'shark':21 'tank':22"
671,"Perdition Fargo","A Fast-Paced Story of a Car And a Cat who must Outgun a Hunter in Berlin",2006,1,7,"4.99",99,"27.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'berlin':20 'car':10 'cat':13 'fargo':2 'fast':5 'fast-pac':4 'hunter':18 'must':15 'outgun':16 'pace':6 'perdit':1 'stori':7"
657,"Paradise Sabrina","A Intrepid Yarn of a Car And a Moose who must Outrace a Crocodile in A Manhattan Penthouse",2006,1,5,"2.99",48,"12.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'car':8 'crocodil':16 'intrepid':4 'manhattan':19 'moos':11 'must':13 'outrac':14 'paradis':1 'penthous':20 'sabrina':2 'yarn':5"
656,"Papi Necklace","A Fanciful Display of a Car And a Monkey who must Escape a Squirrel in Ancient Japan",2006,1,3,"0.99",128,"9.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'ancient':18 'car':8 'display':5 'escap':14 'fanci':4 'japan':19 'monkey':11 'must':13 'necklac':2 'papi':1 'squirrel':16"
637,"Open African","A Lacklusture Drama of a Secret Agent And a Explorer who must Discover a Car in A U-Boat",2006,1,7,"4.99",131,"16.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'african':2 'agent':9 'boat':22 'car':17 'discov':15 'drama':5 'explor':12 'lacklustur':4 'must':14 'open':1 'secret':8 'u':21 'u-boat':20"
617,"Natural Stock","A Fast-Paced Story of a Sumo Wrestler And a Girl who must Defeat a Car in A Baloon Factory",2006,1,4,"0.99",50,"24.99","PG-13","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'baloon':22 'car':19 'defeat':17 'factori':23 'fast':5 'fast-pac':4 'girl':14 'must':16 'natur':1 'pace':6 'stock':2 'stori':7 'sumo':10 'wrestler':11"
608,"Murder Antitrust","A Brilliant Yarn of a Car And a Database Administrator who must Escape a Boy in A MySQL Convention",2006,1,6,"2.99",166,"11.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'administr':12 'antitrust':2 'boy':17 'brilliant':4 'car':8 'convent':21 'databas':11 'escap':15 'murder':1 'must':14 'mysql':20 'yarn':5"
600,"Motions Details","A Awe-Inspiring Reflection of a Dog And a Student who must Kill a Car in An Abandoned Fun House",2006,1,5,"0.99",166,"16.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'abandon':21 'awe':5 'awe-inspir':4 'car':18 'detail':2 'dog':10 'fun':22 'hous':23 'inspir':6 'kill':16 'motion':1 'must':15 'reflect':7 'student':13"
591,"Monsoon Cause","A Astounding Tale of a Crocodile And a Car who must Outrace a Squirrel in A U-Boat",2006,1,6,"4.99",182,"20.99","PG","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'astound':4 'boat':21 'car':11 'caus':2 'crocodil':8 'monsoon':1 'must':13 'outrac':14 'squirrel':16 'tale':5 'u':20 'u-boat':19"
586,"Mockingbird Hollywood","A Thoughtful Panorama of a Man And a Car who must Sink a Composer in Berlin",2006,1,4,"0.99",60,"27.99","PG","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'berlin':18 'car':11 'compos':16 'hollywood':2 'man':8 'mockingbird':1 'must':13 'panorama':5 'sink':14 'thought':4"
560,"Mars Roman","A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia",2006,1,6,"0.99",62,"21.99","NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'bore':4 'car':8 'dog':11 'drama':5 'georgia':19 'madman':16 'mar':1 'must':13 'roman':2 'soviet':18 'succumb':14"
538,"Loverboy Attacks","A Boring Story of a Car And a Butler who must Build a Girl in Soviet Georgia",2006,1,7,"0.99",162,"19.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'attack':2 'bore':4 'build':14 'butler':11 'car':8 'georgia':19 'girl':16 'loverboy':1 'must':13 'soviet':18 'stori':5"
510,"Lawless Vision","A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback",2006,1,6,"4.99",181,"29.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'boy':8 'car':17 'insight':4 'lawless':1 'must':14 'outback':20 'outgun':15 'sumo':11 'vision':2 'wrestler':12 'yarn':5"
504,"Kwai Homeward","A Amazing Drama of a Car And a Squirrel who must Pursue a Car in Soviet Georgia",2006,1,5,"0.99",46,"25.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'amaz':4 'car':8,16 'drama':5 'georgia':19 'homeward':2 'kwai':1 'must':13 'pursu':14 'soviet':18 'squirrel':11"
493,"Kane Exorcist","A Epic Documentary of a Composer And a Robot who must Overcome a Car in Berlin",2006,1,5,"0.99",92,"18.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'berlin':18 'car':16 'compos':8 'documentari':5 'epic':4 'exorcist':2 'kane':1 'must':13 'overcom':14 'robot':11"
489,"Juggler Hardly","A Epic Story of a Mad Cow And a Astronaut who must Challenge a Car in California",2006,1,4,"0.99",54,"14.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'astronaut':12 'california':19 'car':17 'challeng':15 'cow':9 'epic':4 'hard':2 'juggler':1 'mad':8 'must':14 'stori':5"
488,"Joon Northwest","A Thrilling Panorama of a Technical Writer And a Car who must Discover a Forensic Psychologist in A Shark Tank",2006,1,3,"0.99",105,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'car':12 'discov':15 'forens':17 'joon':1 'must':14 'northwest':2 'panorama':5 'psychologist':18 'shark':21 'tank':22 'technic':8 'thrill':4 'writer':9"
450,"Idols Snatchers","A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery",2006,1,5,"2.99",84,"29.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'car':8 'compos':11 'drama':5 'fight':14 'idol':1 'insight':4 'man':16 'monasteri':19 'must':13 'snatcher':2"
449,"Identity Lover","A Boring Tale of a Composer And a Mad Cow who must Defeat a Car in The Outback",2006,1,4,"2.99",119,"12.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'bore':4 'car':17 'compos':8 'cow':12 'defeat':15 'ident':1 'lover':2 'mad':11 'must':14 'outback':20 'tale':5"
446,"Hysterical Grail","A Amazing Saga of a Madman And a Dentist who must Build a Car in A Manhattan Penthouse",2006,1,5,"4.99",150,"19.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'amaz':4 'build':14 'car':16 'dentist':11 'grail':2 'hyster':1 'madman':8 'manhattan':19 'must':13 'penthous':20 'saga':5"
434,"Horror Reign","A Touching Documentary of a A Shark And a Car who must Build a Husband in Nigeria",2006,1,3,"0.99",139,"25.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'build':15 'car':12 'documentari':5 'horror':1 'husband':17 'must':14 'nigeria':19 'reign':2 'shark':9 'touch':4"
431,"Hoosiers Birdcage","A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station",2006,1,3,"2.99",176,"12.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'astound':4 'birdcag':2 'boat':11 'car':16 'display':5 'explor':8 'first':19 'hoosier':1 'man':20 'must':13 'space':21 'station':22 'vanquish':14"
417,"Hills Neighbors","A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat",2006,1,5,"0.99",93,"29.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'boat':21 'car':16 'display':5 'epic':4 'feminist':11 'hill':1 'hunter':8 'must':13 'neighbor':2 'sink':14 'u':20 'u-boat':19"
410,"Heaven Freedom","A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans",2006,1,7,"2.99",48,"19.99","PG","2013-05-26 14:50:58.951","{Commentaries}","'butler':8 'car':11 'freedom':2 'heaven':1 'intrepid':4 'man':16 'must':13 'new':18 'orlean':19 'stori':5 'vanquish':14"
407,"Hawk Chill","A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia",2006,1,5,"0.99",47,"12.99","PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'action':5 'action-pack':4 'australia':21 'car':19 'chill':2 'compos':14 'drama':7 'hawk':1 'mad':10 'must':16 'outgun':17 'pack':6 'scientist':11"
400,"Hardly Robbers","A Emotional Character Study of a Hunter And a Car who must Kill a Woman in Berlin",2006,1,7,"2.99",72,"15.99","R","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'berlin':19 'car':12 'charact':5 'emot':4 'hard':1 'hunter':9 'kill':15 'must':14 'robber':2 'studi':6 'woman':17"
370,"Gorgeous Bingo","A Action-Packed Display of a Sumo Wrestler And a Car who must Overcome a Waitress in A Baloon Factory",2006,1,4,"2.99",108,"26.99","R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'action':5 'action-pack':4 'baloon':22 'bingo':2 'car':14 'display':7 'factori':23 'gorgeous':1 'must':16 'overcom':17 'pack':6 'sumo':10 'waitress':19 'wrestler':11"
364,"Godfather Diary","A Stunning Saga of a Lumberjack And a Squirrel who must Chase a Car in The Outback",2006,1,3,"2.99",73,"14.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'car':16 'chase':14 'diari':2 'godfath':1 'lumberjack':8 'must':13 'outback':19 'saga':5 'squirrel':11 'stun':4"
363,"Go Purple","A Fast-Paced Display of a Car And a Database Administrator who must Battle a Woman in A Baloon",2006,1,3,"0.99",54,"12.99","R","2013-05-26 14:50:58.951","{Trailers}","'administr':14 'baloon':22 'battl':17 'car':10 'databas':13 'display':7 'fast':5 'fast-pac':4 'go':1 'must':16 'pace':6 'purpl':2 'woman':19"
361,"Gleaming Jawbreaker","A Amazing Display of a Composer And a Forensic Psychologist who must Discover a Car in The Canadian Rockies",2006,1,5,"2.99",89,"25.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'amaz':4 'canadian':20 'car':17 'compos':8 'discov':15 'display':5 'forens':11 'gleam':1 'jawbreak':2 'must':14 'psychologist':12 'rocki':21"
354,"Ghost Groundhog","A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India",2006,1,6,"4.99",85,"18.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'ancient':18 'brilliant':4 'car':16 'compos':11 'ghost':1 'groundhog':2 'india':19 'madman':8 'must':13 'panorama':5 'succumb':14"
337,"Frida Slipper","A Fateful Story of a Lumberjack And a Car who must Escape a Boat in An Abandoned Mine Shaft",2006,1,6,"2.99",73,"11.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'abandon':19 'boat':16 'car':11 'escap':14 'fate':4 'frida':1 'lumberjack':8 'mine':20 'must':13 'shaft':21 'slipper':2 'stori':5"
325,"Floats Garden","A Action-Packed Epistle of a Robot And a Car who must Chase a Boat in Ancient Japan",2006,1,6,"2.99",145,"29.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'action':5 'action-pack':4 'ancient':20 'boat':18 'car':13 'chase':16 'epistl':7 'float':1 'garden':2 'japan':21 'must':15 'pack':6 'robot':10"
292,"Excitement Eve","A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank",2006,1,3,"0.99",51,"20.99","G","2013-05-26 14:50:58.951","{Commentaries}","'brilliant':4 'car':11 'conquer':14 'crocodil':16 'documentari':5 'eve':2 'excit':1 'monkey':8 'must':13 'shark':19 'tank':20"
280,"Empire Malkovich","A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House",2006,1,7,"0.99",177,"26.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'abandon':19 'amaz':4 'car':16 'cat':11 'empir':1 'face':14 'feminist':8 'fun':20 'hous':21 'malkovich':2 'must':13 'stori':5"
267,"Eagles Panky","A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert",2006,1,4,"4.99",140,"14.99","NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'boy':11 'car':8 'desert':21 'eagl':1 'find':14 'must':13 'panki':2 'sahara':20 'shark':17 'stori':5 'thought':4"
254,"Driver Annie","A Lacklusture Character Study of a Butler And a Car who must Redeem a Boat in An Abandoned Fun House",2006,1,4,"2.99",159,"11.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'anni':2 'boat':17 'butler':9 'car':12 'charact':5 'driver':1 'fun':21 'hous':22 'lacklustur':4 'must':14 'redeem':15 'studi':6"
252,"Dream Pickup","A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico",2006,1,6,"2.99",135,"18.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'car':8 'compos':11 'display':5 'dream':1 'epic':4 'forens':16 'gulf':20 'mexico':22 'must':13 'overcom':14 'pickup':2 'psychologist':17"
242,"Doom Dancing","A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention",2006,1,4,"0.99",68,"13.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'astound':4 'battl':15 'car':8 'convent':21 'danc':2 'doom':1 'lumberjack':17 'mad':11 'must':14 'mysql':20 'panorama':5 'scientist':12"
225,"Destination Jerk","A Beautiful Yarn of a Teacher And a Cat who must Build a Car in A U-Boat",2006,1,3,"0.99",76,"19.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'beauti':4 'boat':21 'build':14 'car':16 'cat':11 'destin':1 'jerk':2 'must':13 'teacher':8 'u':20 'u-boat':19 'yarn':5"
196,"Cruelty Unforgiven","A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria",2006,1,7,"0.99",69,"29.99","G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'battl':14 'brilliant':4 'car':8 'cruelti':1 'dentist':16 'moos':11 'must':13 'nigeria':18 'tale':5 'unforgiven':2"
190,"Creepers Kane","A Awe-Inspiring Reflection of a Squirrel And a Boat who must Outrace a Car in A Jet Boat",2006,1,5,"4.99",172,"23.99","NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'awe':5 'awe-inspir':4 'boat':13,22 'car':18 'creeper':1 'inspir':6 'jet':21 'kane':2 'must':15 'outrac':16 'reflect':7 'squirrel':10"
184,"Core Suit","A Unbelieveable Tale of a Car And a Explorer who must Confront a Boat in A Manhattan Penthouse",2006,1,3,"2.99",92,"24.99","PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'boat':16 'car':8 'confront':14 'core':1 'explor':11 'manhattan':19 'must':13 'penthous':20 'suit':2 'tale':5 'unbeliev':4"
173,"Confessions Maguire","A Insightful Story of a Car And a Boy who must Battle a Technical Writer in A Baloon",2006,1,7,"4.99",65,"25.99","PG-13","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'baloon':20 'battl':14 'boy':11 'car':8 'confess':1 'insight':4 'maguir':2 'must':13 'stori':5 'technic':16 'writer':17"
166,"Color Philadelphia","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert",2006,1,6,"2.99",149,"19.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'car':8 'color':1 'crocodil':11 'desert':20 'monkey':16 'must':13 'panorama':5 'philadelphia':2 'sahara':19 'sink':14 'thought':4"
162,"Clueless Bucket","A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House",2006,1,4,"2.99",95,"13.99","R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'bucket':2 'car':8 'clueless':1 'conquer':14 'fun':21 'hous':22 'must':13 'pioneer':11 'sumo':16 'tale':5 'taut':4 'wrestler':17"
158,"Clones Pinocchio","A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans",2006,1,6,"2.99",124,"16.99","R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'amaz':4 'car':8 'clone':1 'dentist':16 'drama':5 'must':13 'new':18 'orlean':19 'pinocchio':2 'pursu':14 'robot':11"
145,"Chisum Behavior","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India",2006,1,5,"4.99",124,"25.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'ancient':19 'behavior':2 'butler':12 'car':17 'chisum':1 'documentari':5 'epic':4 'india':20 'kill':15 'must':14 'sumo':8 'wrestler':9"
119,"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,6,"0.99",176,"22.99","G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16"
75,"Bird Independence","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies",2006,1,6,"4.99",163,"14.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bird':1 'canadian':19 'car':8 'documentari':5 'hunter':16 'independ':2 'must':13 'rocki':20 'sink':14 'student':11 'thrill':4"
54,"Banger Pinocchio","A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station",2006,1,5,"0.99",113,"15.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'awe':5 'awe-inspir':4 'banger':1 'car':10 'chase':17 'chef':14 'crocodil':19 'drama':7 'first':22 'inspir':6 'man':23 'must':16 'pastri':13 'pinocchio':2 'space':24 'station':25"
48,"Backlash Undefeated","A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery",2006,1,3,"4.99",118,"24.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2"
