"payment_id","customer_id","staff_id","rental_id","amount","selling_price","payment_date"
17582,360,2,2780,"6.99","7.90","2007-02-19 16:47:59.996577"
17583,361,2,2353,"4.99","5.49","2007-02-18 11:21:51.996577"
17584,361,2,2558,"1.99","2.19","2007-02-19 01:37:42.996577"
17585,361,1,2851,"2.99","3.29","2007-02-19 21:35:29.996577"
17586,361,2,3303,"2.99","3.29","2007-02-21 06:02:40.996577"
17587,362,1,1429,"2.99","3.29","2007-02-15 16:52:36.996577"
17588,362,1,1529,"2.99","3.29","2007-02-15 23:06:01.996577"
17589,362,1,1615,"2.99","3.29","2007-02-16 05:28:54.996577"
17590,362,2,3197,"2.99","3.29","2007-02-20 22:35:49.996577"
17591,362,2,3393,"2.99","3.29","2007-02-21 13:42:53.996577"
17592,363,2,1426,"4.99","5.49","2007-02-15 16:44:50.996577"
17593,363,2,1569,"4.99","5.49","2007-02-16 01:47:35.996577"
17594,363,1,1847,"4.99","5.49","2007-02-16 22:33:48.996577"
17595,363,1,2540,"4.99","5.49","2007-02-19 00:33:14.996577"
17596,363,2,3281,"2.99","3.29","2007-02-21 04:37:13.996577"
17597,364,1,1722,"2.99","3.29","2007-02-16 13:41:18.996577"
17598,364,2,2442,"2.99","3.29","2007-02-18 17:17:44.996577"
17599,364,2,2606,"4.99","5.49","2007-02-19 05:19:58.996577"
17600,364,2,2857,"4.99","5.49","2007-02-19 21:43:41.996577"
17601,364,2,2962,"3.99","4.39","2007-02-20 06:00:21.996577"
17602,365,1,1303,"1.99","2.19","2007-02-15 08:24:23.996577"
